2025-12-15 13:04:17.209 | INFO  | traceId= | logStarting:53 | Starting OidcClientApplication using Java 21.0.8 with PID 3368 (C:\Users\p10427815\Desktop\OIDC_Client_Final\target\classes started by p10427815 in C:\Users\p10427815\Desktop\OIDC_Client_Final)
2025-12-15 13:04:17.221 | INFO  | traceId= | logStartupProfileInfo:652 | No active profile set, falling back to 1 default profile: "default"
2025-12-15 13:04:18.159 | INFO  | traceId= | registerRepositoriesIn:145 | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-15 13:04:18.243 | INFO  | traceId= | registerRepositoriesIn:213 | Finished Spring Data repository scanning in 67 ms. Found 2 JPA repository interfaces.
2025-12-15 13:04:19.060 | INFO  | traceId= | initialize:111 | Tomcat initialized with port 8080 (http)
2025-12-15 13:04:19.089 | INFO  | traceId= | log:168 | Initializing ProtocolHandler ["http-nio-8080"]
2025-12-15 13:04:19.092 | INFO  | traceId= | log:168 | Starting service [Tomcat]
2025-12-15 13:04:19.092 | INFO  | traceId= | log:168 | Starting Servlet engine: [Apache Tomcat/10.1.46]
2025-12-15 13:04:19.198 | INFO  | traceId= | log:168 | Initializing Spring embedded WebApplicationContext
2025-12-15 13:04:19.199 | INFO  | traceId= | prepareWebApplicationContext:301 | Root WebApplicationContext: initialization completed in 1912 ms
2025-12-15 13:04:19.440 | INFO  | traceId= | logPersistenceUnitInformation:31 | HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-15 13:04:19.530 | INFO  | traceId= | logVersion:44 | HHH000412: Hibernate ORM core version 6.6.29.Final
2025-12-15 13:04:19.588 | INFO  | traceId= | initiateService:50 | HHH000026: Second-level cache disabled
2025-12-15 13:04:19.993 | INFO  | traceId= | addTransformer:87 | No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-15 13:04:20.048 | INFO  | traceId= | getConnection:109 | HikariPool-1 - Starting...
2025-12-15 13:04:20.419 | INFO  | traceId= | checkFailFast:580 | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7657d90b
2025-12-15 13:04:20.420 | INFO  | traceId= | getConnection:122 | HikariPool-1 - Start completed.
2025-12-15 13:04:20.477 | WARN  | traceId= | constructDialect:153 | HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-12-15 13:04:20.504 | INFO  | traceId= | logConnectionInfo:163 | HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 17.5
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-12-15 13:04:21.516 | INFO  | traceId= | initiateService:59 | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-15 13:04:21.606 | INFO  | traceId= | buildNativeEntityManagerFactory:447 | Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-15 13:04:21.908 | WARN  | traceId= | openEntityManagerInViewInterceptor:258 | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-15 13:04:22.484 | INFO  | traceId= | log:168 | Starting ProtocolHandler ["http-nio-8080"]
2025-12-15 13:04:22.523 | INFO  | traceId= | start:243 | Tomcat started on port 8080 (http) with context path '/'
2025-12-15 13:04:22.535 | INFO  | traceId= | logStarted:59 | Started OidcClientApplication in 6.059 seconds (process running for 6.584)
2025-12-15 13:04:28.206 | INFO  | traceId= | log:168 | Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-15 13:04:28.206 | INFO  | traceId= | initServletBean:532 | Initializing Servlet 'dispatcherServlet'
